Store Name,Region,Brand,Category,Subcategory,Gender,MRP Bucket,Attribute 1,Attribute 2,Style,Season Tag,MRP,Size,EAN,Parent SKU,Store Stock,Distributed Stock,Post Distributed Stock,Reason,Replenishment Sales Qty,Initial Warehouse Stock,Remaining Warehouse Stock,Initial Planogram Gap,Remaining Planogram Gap
Warangal Hanamkonda Kakathiya,SOUTH,ADMYRA,FRAME,SHEET|FULL|CAT EYE,FEMALE,2790,,,SYS162312,,2790,FREE,SYS162312,AM 0132 - Admyra - Female - D/Brown - 52 - Full Frame - Cat Eye - Sheet,1,1,2,REPLENISH,1,53,0,99811,99753
Ghaziabad RDC,NORTH,ADMYRA,FRAME,SHEET|FULL|CAT EYE,FEMALE,2790,,,SYS162309,,2790,FREE,SYS162309,AM 0131 - Admyra - Female - D/Green - 51 - Full Frame - Cat Eye - Sheet,1,1,2,REPLENISH,1,51,0,99726,99635
Ghaziabad RDC,NORTH,ADMYRA,FRAME,SHEET|FULL|CAT EYE,FEMALE,2790,,,SYS162308,,2790,FREE,SYS162308,AM 0131 - Admyra - Female - Purple - 51 - Full Frame - Cat Eye - Sheet,1,1,2,REPLENISH,1,46,0,99726,99635
Ghaziabad RDC,NORTH,ADMYRA,FRAME,SHEET|FULL|CAT EYE,FEMALE,2490,,,SYS162299,,2490,FREE,SYS162299,AM 0127 - Admyra - Female - Green - 53 - Full Frame - Cat Eye - Sheet,1,1,2,REPLENISH,1,12,0,99726,99635
Jaipur Vaishali Nagar,WEST,AVANTA KIDS,FRAME,PEDIATRIC|FULL|ROUND,KIDS,1190,,,SYS165278,,1190,FREE,SYS165278,AV 1502 - Avanta Kids - Kids - C8 - 45 - Full Frame - Round - Pediatric,0,1,1,REPLENISH,1,3,0,99948,99947
Jammu BC Road Rehari Chungi,NORTH,AVANTA,FRAME,METAL|SUPRA|RECTANGLE,MALE,590,,,SYS164961,,590,FREE,SYS164961,AV 12902 - Avanta - Male - Black - 50 - Supra - Rectangle - Metal,0,1,1,REPLENISH,1,3,0,99763,99690
Jammu BC Road Rehari Chungi,NORTH,AVANTA,FRAME,METAL|SUPRA|RECTANGLE,MALE,590,,,SYS164960,,590,FREE,SYS164960,AV 12902 - Avanta - Male - Gun - 50 - Supra - Rectangle - Metal,0,1,1,REPLENISH,1,3,0,99763,99690
Delhi Dwarka Sec 09,NORTH,RAYBAN,SUNGLASS,METAL|FULL|AVIATOR,MALE,9890,,,SYS46726,,9890,FREE,SYS46726,RB3025I - Rayban - Male - 001/57 - 62 - Sunglass - Aviator - Metal,0,1,1,REPLENISH,1,1,0,99975,99966
Ghaziabad RDC,NORTH,AVANTA,FRAME,METAL|RIMLESS|RECTANGLE,MALE,990,,,SYS160356,,990,FREE,SYS160356,AV 249103 - Avanta - Male - Gun - 53 - Rimless - Rectangle - Metal,0,1,1,REPLENISH,1,1,0,99793,99772
Panvel Laxmi Eye,WEST,RAYBAN,FRAME,METAL|RIMLESS|RECTANGLE,MALE,4590,,,SYS42919,,4590,FREE,SYS42919,RX6266I - Rayban - Male - 2500 - 53 - Rimless - Rectangle - Metal,0,1,1,REPLENISH,1,1,0,99982,99970
Panvel Laxmi Eye,WEST,RAYBAN,FRAME,METAL|RIMLESS|RECTANGLE,MALE,4590,,,SYS12365,,4590,FREE,SYS12365,RX6266I - Rayban - Male - 2502 - 53 - Rimless - Rectangle - Metal,1,1,2,REPLENISH,1,1,0,99982,99970
Kolkata Madhyamgram,EAST,AVANTA,FRAME,METAL|HALF|SQUARE,MALE,1490,,,SYS153000,,1490,FREE,SYS153000,AV 56123 - Avanta - Male - C3 - 49 - Half Frame - Square - Metal,0,1,1,REPLENISH,1,4,0,99684,99659
Noida GaurCity,NORTH,VOGUE,FRAME,SHEET|FULL|OVAL,UNISEX,5390,,,SYS59725,,5390,FREE,SYS59725,VO5326 - Vogue - Unisex - W656 - 49 - Full Frame - Oval - Sheet,0,1,1,REPLENISH,1,3,0,99971,99969
Delhi Dwarka Krishna Mall,NORTH,CALVIN KLEIN,FRAME,SHEET|FULL|ROUND,UNISEX,6550,,,SYS165856,,6550,FREE,SYS165856,CKJ 23638LBI - Calvin Klein - Unisex - 235 - 49 - Full Frame - Round - Sheet,0,1,1,REPLENISH,1,1,0,99987,99977
