Barcode No.,Item Code,Item Name,Item Category,HSN Code,Quantity,MRP,Net Amount,Facility,Facility Name
370719,SYS148452,AV 190019 - Avanta Kids - Kids - C6 - 45 - Full Frame - Oval - Sheet,frame,90031100,1,928.13,827.77,Delhi Preet Vihar Vikas Marg,Delhi Preet Vihar Vikas Marg
2749808,SYS56563,EA4115 - Emporio Armani - Male - 50891W - 54 - Full SG - Wayfarer - Sheet,goggles,90041000,1,16590.0,12465.65,Delhi Rohini Ring Road Mall,Delhi Rohini Ring Road Mall
2675681,SYS168850,AV 6805 - Avanta - Male - Gold - 52 - Full Frame - Rectangle - Metal,frame,90031100,1,790.0,743.07,Sikar Police Line Road I Max,Sikar Police Line Road I Max
2751966,SYS169955,AV 527435 - Avanta - Male - Black - 48 - Full Frame - Rectangle - Metal,frame,90031100,1,790.0,633.56,Patna Kankarbagh,Patna Kankarbagh
2675214,SYS163226,AV 303036 - Avanta - Male - MT.Brown - 52 - Full Frame - Rectangle - TR,Frame,90031100,1,890.0,715.58,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2670379,SYS166387,OB RE3389 - OMBRA - Unisex - C1 - 55 - Sunglass - Square - Sheet,goggles,90041000,1,1190.0,1050.0,Delhi Ashok Vihar Phase II,Delhi Ashok Vihar Phase II
2750680,SYS158494,AV 0074 - Avanta - Female - Wine - 51 - Full Frame - Cat Eye - Sheet,frame,90031100,1,1190.0,1014.67,Varanasi Mahmoorganj,Varanasi Mahmoorganj
2756148,SYS172600,AV 7005 - Avanta Kids - Kids - MT.L/Green - 47 - Clip on - Round - TR,frame,90031100,1,1390.0,1248.41,Delhi Safdarjung Enclave,Delhi Safdarjung Enclave
2666692,SYS116962,AV 56070 - Avanta - Male - C4 - 53 - Half Frame - Rectangle - Metal,frame,90031100,1,1590.0,1335.77,Bhiwani Circular Road,Bhiwani Circular Road
2753132,SYS171032,AV 1008 - Avanta Kids - Kids - Trans/Grey - 43 - Full Frame - Cat Eye - TR,frame,90031100,1,890.0,805.03,Delhi Preet Vihar Vikas Marg,Delhi Preet Vihar Vikas Marg
2756034,SYS172535,AV 1010 - Avanta Kids - Kids - Brown/Green - 42 - Full Frame - Cat Eye - TR,Frame,90031100,1,790.0,650.0,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2658417,SYS162293,AM 0130 - Admyra - Male - D/Green - 55 - Full Frame - Square - Sheet,frame,90031100,1,2790.0,2232.0,Moradabad Kanth Road,Moradabad Kanth Road
2675016,SYS158381,AV 0061 - Avanta - Male - Trans/Grey - 53 - Full Frame - Rectangle - Sheet,frame,90031100,1,1190.0,1065.51,Delhi Preet Vihar Vikas Marg,Delhi Preet Vihar Vikas Marg
